wavelength,x,y,z
390,3.77E-03,4.15E-04,1.85E-02
395,9.38E-03,1.06E-03,4.61E-02
400,2.21E-02,2.45E-03,1.10E-01
405,4.74E-02,4.97E-03,2.37E-01
410,8.95E-02,9.08E-03,4.51E-01
415,1.45E-01,1.43E-02,7.38E-01
420,2.04E-01,2.03E-02,1.05E+00
425,2.49E-01,2.61E-02,1.31E+00
430,2.92E-01,3.32E-02,1.55E+00
435,3.23E-01,4.16E-02,1.75E+00
440,3.48E-01,5.03E-02,1.92E+00
445,3.42E-01,5.74E-02,1.92E+00
450,3.22E-01,6.47E-02,1.85E+00
455,2.83E-01,7.24E-02,1.66E+00
460,2.49E-01,8.51E-02,1.52E+00
465,2.22E-01,1.06E-01,1.43E+00
470,1.81E-01,1.30E-01,1.25E+00
475,1.29E-01,1.54E-01,9.99E-01
480,8.18E-02,1.79E-01,7.55E-01
485,4.60E-02,2.06E-01,5.62E-01
490,2.08E-02,2.38E-01,4.10E-01
495,7.10E-03,2.85E-01,3.11E-01
500,2.46E-03,3.48E-01,2.38E-01
505,3.65E-03,4.28E-01,1.72E-01
510,1.56E-02,5.20E-01,1.18E-01
515,4.32E-02,6.21E-01,8.28E-02
520,7.96E-02,7.18E-01,5.65E-02
525,1.27E-01,7.95E-01,3.75E-02
530,1.82E-01,8.58E-01,2.44E-02
535,2.41E-01,9.07E-01,1.57E-02
540,3.10E-01,9.54E-01,9.85E-03
545,3.80E-01,9.81E-01,6.13E-03
550,4.49E-01,9.89E-01,3.79E-03
555,5.28E-01,9.99E-01,2.33E-03
560,6.13E-01,9.97E-01,1.43E-03
565,7.02E-01,9.90E-01,8.82E-04
570,7.97E-01,9.73E-01,5.45E-04
575,8.85E-01,9.42E-01,3.39E-04
580,9.64E-01,8.96E-01,2.12E-04
585,1.05E+00,8.59E-01,1.34E-04
590,1.11E+00,8.12E-01,8.49E-05
595,1.14E+00,7.54E-01,5.46E-05
600,1.15E+00,6.92E-01,3.55E-05
605,1.13E+00,6.27E-01,2.33E-05
610,1.08E+00,5.58E-01,1.55E-05
615,1.01E+00,4.90E-01,1.05E-05
620,9.14E-01,4.23E-01,0.00E+00
625,8.14E-01,3.61E-01,0.00E+00
630,6.92E-01,2.98E-01,0.00E+00
635,5.76E-01,2.42E-01,0.00E+00
640,4.73E-01,1.94E-01,0.00E+00
645,3.84E-01,1.55E-01,0.00E+00
650,3.00E-01,1.19E-01,0.00E+00
655,2.28E-01,8.98E-02,0.00E+00
660,1.71E-01,6.67E-02,0.00E+00
665,1.26E-01,4.90E-02,0.00E+00
670,9.22E-02,3.56E-02,0.00E+00
675,6.64E-02,2.55E-02,0.00E+00
680,4.71E-02,1.81E-02,0.00E+00
685,3.29E-02,1.26E-02,0.00E+00
690,2.26E-02,8.66E-03,0.00E+00
695,1.58E-02,6.03E-03,0.00E+00
700,1.10E-02,4.20E-03,0.00E+00
705,7.61E-03,2.91E-03,0.00E+00
710,5.21E-03,2.00E-03,0.00E+00
715,3.57E-03,1.37E-03,0.00E+00
720,2.46E-03,9.45E-04,0.00E+00
725,1.70E-03,6.54E-04,0.00E+00
730,1.19E-03,4.56E-04,0.00E+00
735,8.27E-04,3.18E-04,0.00E+00
740,5.76E-04,2.22E-04,0.00E+00
745,4.06E-04,1.57E-04,0.00E+00
750,2.86E-04,1.10E-04,0.00E+00
755,2.02E-04,7.83E-05,0.00E+00
760,1.44E-04,5.58E-05,0.00E+00
765,1.02E-04,3.98E-05,0.00E+00
770,7.35E-05,2.86E-05,0.00E+00
775,5.26E-05,2.05E-05,0.00E+00
780,3.81E-05,1.49E-05,0.00E+00
785,2.76E-05,1.08E-05,0.00E+00
790,2.00E-05,7.86E-06,0.00E+00
795,1.46E-05,5.74E-06,0.00E+00
800,1.07E-05,4.21E-06,0.00E+00
805,7.86E-06,3.11E-06,0.00E+00
810,5.77E-06,2.29E-06,0.00E+00
815,4.26E-06,1.69E-06,0.00E+00
820,3.17E-06,1.26E-06,0.00E+00
825,2.36E-06,9.42E-07,0.00E+00
830,1.76E-06,7.05E-07,0.00E+00
